iter	RMSE
658	2.305851842
659	2.305845055
660	2.305840575
661	2.305836508
662	2.305831582
663	2.305827688
664	2.305823039
665	2.305819273
666	2.305816155
667	2.305813596
668	2.305810986
669	2.305808068
670	2.305804861
671	2.305802487
672	2.305795033
673	2.305791629
674	2.305788616
675	2.305785986
676	2.305782201
677	2.305780344
678	2.30577442
679	2.305772056
680	2.305769144
681	2.305766497
682	2.305760919
683	2.305759569
684	2.305756313
685	2.305753531
686	2.30575038
687	2.305746317
688	2.305740115
689	2.305736566
690	2.305733773
691	2.30573123
692	2.305726236
693	2.305724926
694	2.305722948
695	2.305721275
696	2.30571723
697	2.305712525
698	2.305707327
699	2.305703643
700	2.305698044
701	2.305696455
702	2.305692479
703	2.305690853
704	2.305688425
705	2.305687062
706	2.305678006
707	2.305676618
708	2.305672195
709	2.30566999
710	2.305666996
711	2.305664838
712	2.305664091
713	2.305662574
714	2.305659773
715	2.305658712
716	2.305655354
717	2.305653914
718	2.305648667
719	2.30564573
720	2.305643475
721	2.305638305
722	2.305637005
723	2.305631968
724	2.305630915
725	2.305629535
726	2.305623599
727	2.30562138
728	2.305615492
729	2.305609608
730	2.305604372
731	2.305602958
732	2.305601699
733	2.305601053
734	2.305599334
735	2.3055967
736	2.305595023
737	2.305592441
738	2.305590365
739	2.305587108
740	2.305582887
741	2.305578285
742	2.30557446
743	2.30557286
744	2.30557103
745	2.305567453
746	2.305565518
747	2.305561771
748	2.305560727
749	2.305555108
750	2.305554248
751	2.305549605
752	2.305548365
753	2.305545389
754	2.305543967
755	2.305542137
756	2.305539156
757	2.305538252
758	2.305536946
759	2.305535529
760	2.305534709
761	2.305531884
762	2.305528615
763	2.305524156
764	2.305523092
765	2.305520153
766	2.305517795
767	2.305515928
768	2.305515024
769	2.305513521
770	2.305512138
771	2.305510857
772	2.305509333
773	2.305508518
774	2.30550622
775	2.305504768
776	2.305498317
777	2.305497187
778	2.305495705
779	2.305494612
780	2.305488933
781	2.305488882
782	2.305487198
783	2.305484998
784	2.305482096
785	2.305479982
786	2.305478297
787	2.305476191
788	2.305475504
789	2.30547464
790	2.305473612
791	2.305471316
792	2.305470341
793	2.305468543
794	2.305466927
795	2.305464277
796	2.305461189
797	2.305457702
798	2.305454344
799	2.305452678
800	2.305451353
801	2.305448554
802	2.305447791
803	2.305446416
804	2.305445724
805	2.305443518
806	2.305441889
807	2.305441069
808	2.30543838
809	2.305437758
810	2.305436554
811	2.305435259
812	2.305431377
813	2.305429189
814	2.305426553
815	2.305421153
816	2.305419686
817	2.305418554
818	2.305416663
819	2.30541483
820	2.3054141
821	2.305411617
822	2.305411193
823	2.305409385
824	2.305406901
825	2.305405989
826	2.305405262
827	2.305404388
828	2.305402498
829	2.305402139
830	2.305401225
831	2.305398065
832	2.305395147
833	2.305394527
834	2.305393196
835	2.305391152
836	2.305390714
837	2.30538827
838	2.305387033
839	2.305386658
840	2.305385636
841	2.305380529
842	2.305380062
843	2.30537948
844	2.305378817
845	2.3053765
846	2.305375205
847	2.305374248
848	2.305372934
849	2.305371793
850	2.305369729
851	2.305367957
852	2.305366159
853	2.305359322
854	2.305358865
855	2.305357397
856	2.305356549
857	2.305355246
858	2.305351317
859	2.305350034
860	2.305349753
861	2.305349056
862	2.30534612
863	2.30534453
864	2.305344007
865	2.305342394
866	2.305341176
867	2.305339703
868	2.305339193
869	2.305337674
870	2.305336286
871	2.305335799
872	2.30533545
873	2.305334749
874	2.305333891
875	2.305333465
876	2.30533203
877	2.305331593
878	2.305329678
879	2.305328962
880	2.305328548
881	2.305328017
882	2.305327496
883	2.305326509
884	2.305326219
885	2.305325492
886	2.305324427
887	2.305324096
888	2.305323443
889	2.305323091
890	2.305322648
891	2.305321866
892	2.305321549
893	2.305320948
894	2.305319048
895	2.305318494
896	2.305318136
897	2.305317252
898	2.305316444
899	2.305316132
900	2.305314012
901	2.30531324
902	2.305312288
903	2.305312164
904	2.305312008
905	2.305311813
906	2.305310775
907	2.305309894
908	2.305309022
909	2.30530848
910	2.305307741
911	2.3053054
912	2.305305162
913	2.305304077
914	2.305303826
915	2.305302855
916	2.305302331
917	2.305301884
918	2.305301394
919	2.305301053
920	2.305299779
921	2.305299545
922	2.305299096
923	2.305298471
924	2.305293416
925	2.305291796
926	2.305291156
927	2.305290449
928	2.305288697
929	2.305286398
930	2.305285484
931	2.305283736
932	2.305283342
933	2.305283111
934	2.305282592
935	2.305282439
936	2.305281355
937	2.305281035
938	2.305280921
939	2.30527994
940	2.305279685
941	2.305279359
942	2.305278474
943	2.305276257
944	2.305275658
945	2.305272267
946	2.305270917
947	2.305270059
948	2.305269865
949	2.305268419
950	2.305266549
951	2.305265942
952	2.305265754
953	2.305264257
954	2.305263249
955	2.305262954
956	2.305262194
957	2.305261867
958	2.305260125
959	2.3052592
960	2.305259103
961	2.305258879
962	2.305257039
963	2.305256851
964	2.305255897
965	2.305255514
966	2.305253956
967	2.305252384
968	2.305251905
969	2.305250221
970	2.305250128
971	2.305249413
972	2.305248691
973	2.305247938
974	2.305246021
975	2.305245004
976	2.305244182
977	2.305242811
978	2.305242717
979	2.305242359
980	2.305241573
981	2.305240822
982	2.305239739
983	2.305239501
984	2.305238812
985	2.305238457
986	2.30523592
987	2.305235281
988	2.305234931
989	2.305234814
990	2.305234489
991	2.305234435
992	2.305232919
993	2.305232037
994	2.305231791
995	2.30523117
996	2.305231008
997	2.305230627
998	2.305230155
999	2.305229498
